Ticker,Tipo,Data Com,Pagamento,Valor,Segmento,Tipo da Gestão,Público-alvo,Rendimento Médio 24M,Taxa Administração,Liquidez Média Diária,Participação IFIX
HOSI11,,,,,,,,,,,
HPDP11,,,,,,,,,,,
HRDF11,,,,,,,,,,,
HREC11,,,,,,,,,,,
HRES11,,,,,,,,,,,
HSAF11,,,,,,,,,,,
HSLG11,,,,,,,,,,,
HSML11,,,,,,,,,,,
HSRE11,,,,,,,,,,,
HTMX11,,,,,,,,,,,
HUCG11,,,,,,,,,,,
HUSC11,,,,,,,,,,,
HUSI11,,,,,,,,,,,
HYPI11,,,,,,,,,,,
IAAG11,RENDIMENTO,2025-06-30,14/07/2025,0.11,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2025-05-30,13/06/2025,0.1,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2025-04-30,15/05/2025,0.1,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2025-03-31,14/04/2025,0.09,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2025-02-28,18/03/2025,0.1,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2025-01-31,14/02/2025,0.11,Indefinido,,,,- % a.a,"134.543,50",
IAAG11,RENDIMENTO,2024-12-30,15/01/2025,0.1,Indefinido,,,,- % a.a,"134.543,50",
IAGR11,RENDIMENTO,2025-05-30,13/06/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2025-04-30,15/05/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2025-03-31,14/04/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2025-02-28,18/03/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2025-01-31,14/02/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2024-12-30,15/01/2025,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2024-11-29,13/12/2024,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2024-10-31,14/11/2024,0.006,Indefinido,,,,- % a.a,"10.731,85",
IAGR11,RENDIMENTO,2024-09-30,14/10/2024,0.014,Indefinido,,,,- % a.a,"10.731,85",
IBBP11,,,,,,,,,,,
IBCR11,,,,,,,,,,,
ICNE11,,,,,,,,,,,
ICRI11,,,,,,,,,,,
IDFI11,,,,,,,,,,,
IDGO11,,,,,Misto,,,,- % a.a,"0,00",
IDGR11,,,,,,,,,,,
IDUA11,,,,,,,,,,,
IFRA11,,,,,,,,,,,
IFRI11,,,,,,,,,,,
IMMV11,,,,,,,,,,,
IMOF11,,,,,,,,,,,
INDE11,,,,,,,,,,,
INFA11,,,,,,,,,,,
INFB11,,,,,,,,,,,
INLG11,,,,,,,,,,,
INRD11,,,,,,,,,,,
IRBL11,,,,,,,,,,,
IRDM11,,,,,,,,,,,
IRIF11,,,,,,,,,,,
IRIM11,,,,,,,,,,,
ISCJ11,,,,,,,,,,,
ISEN11,,,,,,,,,,,
ISET11,,,,,,,,,,,
ISNT11,,,,,,,,,,,
ITIP11,,,,,,,,,,,
ITIT11,,,,,,,,,,,
ITRI11,,,,,,,,,,,
IVCI11,,,,,,,,,,,
JASC11,,,,,,,,,,,
JBFO11,,,,,,,,,,,
JCCJ11,,,,,,,,,,,
JCDA11,,,,,,,,,,,
JCDB11,,,,,,,,,,,
JCIN11,,,,,,,,,,,
JFLL11,,,,,,,,,,,
JGPX11,RENDIMENTO,2025-06-30,14/07/2025,0.65,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2025-05-30,13/06/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2025-04-30,15/05/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2025-03-31,14/04/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2025-02-28,18/03/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2025-01-31,14/02/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2024-12-30,15/01/2025,0.55,Indefinido,,,,- % a.a,"221.189,95",
JGPX11,RENDIMENTO,2024-11-29,13/12/2024,0.55,Indefinido,,,,- % a.a,"221.189,95",
JKDF11,,,,,,,,,,,
JKEF11,,,,,,,,,,,
JMBI11,,,,,,,,,,,
JPPA11,,,,,,,,,,,
JPPC11,,,,,,,,,,,
JSAF11,,,,,,,,,,,
JSCR11,,,,,,,,,,,
JSRE11,,,,,,,,,,,
JTPR11,,,,,,,,,,,
JURO11,,,,,,,,,,,
KCRE11,,,,,,,,,,,
KDIF11,,,,,,,,,,,
KDOL11,RENDIMENTO,2025-06-30,14/07/2025,0.51,Misto,,,,- % a.a,"108.776,25",
KEVE11,,,,,,,,,,,
KFEN11,,,,,,,,,,,
KFOF11,,,,,,,,,,,
KISU11,,,,,,,,,,,
KIVO11,,,,,,,,,,,
KLOG11,,,,,,,,,,,
KNCA11,RENDIMENTO,2025-06-30,14/07/2025,1.1,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2025-05-30,12/06/2025,1.18,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2025-04-30,14/05/2025,1.2,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2025-03-31,11/04/2025,1.0,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2025-02-28,17/03/2025,1.2,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2025-01-31,13/02/2025,1.12,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2024-12-30,14/01/2025,1.0,Indefinido,,,,- % a.a,"2.278.508,05",
KNCA11,RENDIMENTO,2024-11-29,12/12/2024,0.9,Indefinido,,,,- % a.a,"2.278.508,05",
KNCR11,,,,,,,,,,,
KNHF11,,,,,,,,,,,
KNHY11,,,,,,,,,,,
KNIP11,,,,,,,,,,,
KNPR11,,,,,,,,,,,
KNRE11,,,,,,,,,,,
KNRI11,,,,,,,,,,,
KNSC11,,,,,,,,,,,
KNUQ11,,,,,,,,,,,
KOPA11,RENDIMENTO,2025-06-16,24/06/2025,13.0,Indefinido,,,,- % a.a,"316.415,55",
KOPA11,AMORTIZAÇÃO,2025-06-16,24/06/2025,19.73,Indefinido,,,,- % a.a,"316.415,55",
KOPA11,RENDIMENTO,2025-05-15,22/05/2025,13.83,Indefinido,,,,- % a.a,"316.415,55",
KOPA11,AMORTIZAÇÃO,2025-05-15,22/05/2025,19.73,Indefinido,,,,- % a.a,"316.415,55",
KOPI11,,,,,,,,,,,
KORE11,,,,,,,,,,,
KPMR11,,,,,,,,,,,
KPRP11,,,,,,,,,,,
KRES11,,,,,,,,,,,
LAFI11,RENDIMENTO,2025-05-07,15/05/2025,4.94,Misto,,,,- % a.a,"1.326.315,38",
LAFI11,RENDIMENTO,2025-01-07,15/01/2025,9.28,Misto,,,,- % a.a,"1.326.315,38",
LASC11,,,,,,,,,,,
LFTT11,,,,,,,,,,,
LIFE11,,,,,,,,,,,
LKDV11,,,,,,,,,,,
LLAO11,,,,,,,,,,,
LOFT11,,,,,,,,,,,
LPLP11,,,,,,,,,,,
LRDI11,,,,,,,,,,,
LRED11,,,,,,,,,,,
LSAG11,AMORTIZAÇÃO,2025-06-30,14/07/2025,1.1,Indefinido,,,,- % a.a,"38.383,65",
LSAG11,AMORTIZAÇÃO,2025-05-30,13/06/2025,1.1,Indefinido,,,,- % a.a,"38.383,65",
LSOI11,,,,,,,,,,,
LSPA11,,,,,,,,,,,
LTMT11,,,,,,,,,,,
LVBI11,,,,,,,,,,,
MALL11,,,,,,,,,,,
MANA11,,,,,,,,,,,
MAXR11,,,,,,,,,,,
MBBI11,,,,,,,,,,,
MCCI11,,,,,,,,,,,
MCEM11,,,,,,,,,,,
MCLO11,,,,,,,,,,,
MCRE11,,,,,,,,,,,
MFAI11,,,,,,,,,,,
MFCR11,,,,,,,,,,,
MFII11,,,,,,,,,,,
MGHT11,,,,,,,,,,,
MGRI11,,,,,,,,,,,
MINT11,,,,,,,,,,,
MMPD11,,,,,,,,,,,
MMVE11,,,,,,,,,,,
MOFF11,,,,,,,,,,,
MTOF11,,,,,,,,,,,
MVFI11,,,,,,,,,,,
MXRF11,,,,,,,,,,,
NAGR11,,,,,Agricultura,,,,- % a.a,-,
NAUI11,,,,,,,,,,,
NAVT11,,,,,,,,,,,
NCRI11,,,,,,,,,,,
NELO11,RENDIMENTO,2025-06-18,26/06/2025,4.33097789,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2025-05-20,27/05/2025,7.29427855,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2025-04-17,28/04/2025,18.46364258,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2025-03-20,27/03/2025,29.63300661,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2025-02-20,27/02/2025,14.3606109,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2025-01-20,27/01/2025,10.16640073,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2024-12-20,30/12/2024,11.39731023,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2024-11-19,27/11/2024,9.5737406,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2024-10-18,25/10/2024,9.5737406,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2024-09-20,27/09/2024,9.5737406,Logística,,,,- % a.a,-,
NELO11,RENDIMENTO,2024-08-20,27/08/2024,9.5737406,Logística,,,,- % a.a,-,
